,created_at,tweets,location
97,2019-05-02 07:55:52,brt tvietor08 trump wants a debate about ending birthright citizenship more than actually doing it democrats should say ok see you in coxe2x80xa6,"b'Pompano Beach, FL'"
98,2019-05-02 07:55:47,bsarah sanders says william barr is serving trump honorably and democrats disgrace and humiliate themselves url,"b'Qui Nh\xc6\xa1n,B\xc3\xacnh \xc4\x90\xe1\xbb\x8bnh, Vi\xe1\xbb\x87t Nam'"
99,2019-05-02 07:55:40,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b''
100,2019-05-02 07:55:38,brt ronaldklain im going to make this simple the trump administration is going to lie and stonewall until the democrats increase the prxe2x80xa6,b'Portland & San Francisco'
101,2019-05-02 07:55:30,brt ronaldklain im going to make this simple the trump administration is going to lie and stonewall until the democrats increase the prxe2x80xa6,b'Metro NY'
102,2019-05-02 07:55:25,brt realsaavedra hillary clinton calls on china to illegally obtain trumpxe2x80x99s tax returns and give them to american medianndnc chair tom perxe2x80xa6,b'United States'
103,2019-05-02 07:55:19,bhouse democrats now subpoenaing trumpamp8217s grandkidsamp8217 records lawsuit url,"b'Kentucky, USA'"
104,2019-05-02 07:55:18,brt charliekirk11 227 democratsxe2x80x94nearly all of them voted to allow illegal aliens to vote in our electionsnnmeanwhile they all support thxe2x80xa6,b''
105,2019-05-02 07:55:14,brt charliekirk11 227 democratsxe2x80x94nearly all of them voted to allow illegal aliens to vote in our electionsnnmeanwhile they all support thxe2x80xa6,b''
106,2019-05-02 07:55:14,brt sethabramson 2 if these men are to be taken literally the only next step the democrats can take is to impeach barr so that either evxe2x80xa6,b''
107,2019-05-02 07:55:13,brt maddowblog here is hillary clintons hypothetical about a candidate calling on china to hack trumps taxes and why republicans puttinxe2x80xa6,b''
108,2019-05-02 07:55:10,brt vin_roger house democrats consider holding barr in contempt of congress if he does not comply with requests they should hold barr ixe2x80xa6,b'EARTH  \xe2\x9d\xa4\xef\xb8\x8f'
109,2019-05-02 07:55:07,brt demwrite last night trump told a crowd that democrats are allin on infanticidennthe baby is bornthey wrap the baby beautifullyxe2x80xa6,"b'Tupelo, MS'"
110,2019-05-02 07:55:05,brt virginiakelly78 the 2020 presidential race could weigh on fang stocks as democrats attack big tech ai deeplearning iot cc mikequxe2x80xa6,b''
111,2019-05-02 07:55:02,brt johncardillo bidenxe2x80x99s son his dishonorable discharge for cocaine use and his leaving his wife and kids for his brotherxe2x80x99s widow are alxe2x80xa6,"b'Winfield, IL'"
112,2019-05-02 07:54:56,brt safetypindaily congressional democrats notch win in emoluments suit against trump via politico url,b'Planet Earth'
113,2019-05-02 07:54:51,brt sethabramson 2 if these men are to be taken literally the only next step the democrats can take is to impeach barr so that either evxe2x80xa6,"b'England, United Kingdom'"
114,2019-05-02 07:54:46,brt essenviews no need for democrats to impeach trump he is impeaching himself,"b'New York, USA'"
115,2019-05-02 07:54:43,bthe 2020 presidential race could weigh on fang stocks as democrats attack big tech ai deeplearning iot cc mikequindazzi url xe2x80xa6 cc dave lerner url,"b'California, USA'"
116,2019-05-02 07:54:40,bjedsilb keepemhonest2 dcexaminer tedcruz republicans says we are not racistnnrepublicans in charlottesville brings riot gearguns to a protestnnrepublicans in charlottesville jews will not replace usnnrepublicans in charlottesville runs over a peoples and kills onenntrump therexe2x80x99s good people on both sides,b''
